short_name,sequence,MOTA,IDF1,HOTA,MT,ML,FP,FN,Rcll,Prcn,AssA,DetA,AssRe,AssPr,DetRe,DetPr,LocA,FAR,IDSW,FM,Rcll,Prcn,runtime,IDP,IDR,IDSWR,detector
StrongSORT,OVERALL,73.8471,76.985,62.5881,771,185,16632,117920,77.2103,96.0033,64.0382,61.3418,69.6003,80.0069,65.3396,81.2433,84.5882,3.71333,770,1003,77.2103,96.0033,3155,86.354,69.4499,,1
StrongSORT,MOT20-08,47.8873,58.0776,45.1736,37,77,1130,39120,49.5122,97.1388,51.948,39.3759,54.9243,79.5409,40.9384,80.3179,83.1809,1.40199,129,203,49.5122,97.1388,3155,86.0105,43.84,,1
StrongSORT,MOT20-07,81.8888,78.6285,67.4918,86,2,1959,3940,88.097,93.705,65.5029,70.1322,70.1526,81.1231,76.6795,81.5607,86.0472,3.34872,96,100,88.097,93.705,3155,81.1311,76.2756,,1
StrongSORT,MOT20-06,59.349,66.791,52.6679,99,87,2652,51086,61.5192,96.8549,56.2784,49.3392,59.6406,81.0203,51.6606,81.3337,83.8517,2.63095,229,336,61.5192,96.8549,3155,85.973,54.6073,,1
StrongSORT,MOT20-04,87.2371,85.0538,69.8573,549,19,10891,23774,91.326,95.8304,67.9423,71.9569,74.6401,79.285,77.4941,81.3162,84.8666,5.23606,316,364,91.326,95.8304,3155,87.1513,83.0548,,1
STC_Tracker,OVERALL,72.9571,67.5211,56.2731,832,147,30215,107701,79.1852,93.132,53.1357,59.8019,59.4456,73.438,65.5398,77.0832,83.2722,6.74593,2011,3069,79.1852,93.132,3212.4,73.4673,62.4654,,1
STC_Tracker,MOT20-08,54.1196,52.3146,42.5043,55,54,3164,31934,58.7863,93.5049,41.0604,44.2745,46.3074,67.4285,47.6223,75.7475,82.2876,3.92556,452,683,58.7863,93.5049,3212.4,67.7629,42.6023,,1
STC_Tracker,MOT20-07,78.336,69.3469,58.8451,86,3,2264,4665,85.9068,92.6254,53.8639,64.7556,59.4493,74.1572,72.0188,77.6513,84.0529,3.87009,242,288,85.9068,92.6254,3212.4,72.0586,66.8318,,1
STC_Tracker,MOT20-06,59.1216,53.597,44.8741,113,71,5250,48412,63.5334,94.1403,41.5033,48.6726,46.6697,68.3233,52.2352,77.3994,82.9921,5.20833,607,949,63.5334,94.1403,3212.4,66.5071,44.8843,,1
STC_Tracker,MOT20-04,84.3344,76.5091,63.5681,578,19,19537,22690,91.7215,92.7889,58.9764,68.6938,65.8968,75.9914,76.2669,77.1545,83.4521,9.39279,710,1149,91.7215,92.7889,3212.4,76.9543,76.069,,1
Sp_Con,OVERALL,54.6279,53.3858,42.515,407,317,9486,223607,56.7847,96.8725,41.3863,43.824,48.2395,63.8252,45.97,78.423,82.0164,2.11788,1674,2455,56.7847,96.8725,3100,72.2299,42.3398,,0
Sp_Con,MOT20-08,22.8783,28.0861,23.1707,14,113,2667,56788,26.71,88.5845,26.4771,20.4204,29.7713,61.5178,21.3907,70.9428,80.1841,3.30893,302,419,26.71,88.5845,3100,60.6172,18.2773,,0
Sp_Con,MOT20-07,52.3519,51.8642,41.284,31,20,459,15165,54.1857,97.5048,40.7917,42.1091,45.8511,68.9896,44.1659,79.4747,82.8079,0.784615,148,185,54.1857,97.5048,3100,72.5958,40.3432,,0
Sp_Con,MOT20-06,32.0601,34.3267,27.1156,31,130,2650,86993,34.472,94.5264,27.9498,26.3958,32.0587,59.2588,27.4525,75.2779,80.681,2.62897,552,810,34.472,94.5264,3100,64.2273,23.4225,,0
